nome_inct,tipo_producao,periodo,n_tipos_producao
INCT Neuroimmunomodulação,Outra Producao Bibliografica,2020-2025,18
INCT Neuroimmunomodulação,Prefacio Posfacio,2010-2015,1
INCT Neuroimmunomodulação,Prefacio Posfacio,2015-2020,1
INCT Neuroimmunomodulação,Texto Em Jornal Ou Revista,2010-2015,23
INCT Neuroimmunomodulação,Texto Em Jornal Ou Revista,2015-2020,35
INCT Neuroimmunomodulação,Texto Em Jornal Ou Revista,2020-2025,59
INCT Neuroimmunomodulação,Trabalho Em Eventos,2010-2015,1689
INCT Neuroimmunomodulação,Trabalho Em Eventos,2015-2020,788
INCT Neuroimmunomodulação,Trabalho Em Eventos,2020-2025,319
INCT Neuroimmunomodulação,Traducao,2010-2015,16
INCT Neuroimmunomodulação,Traducao,2015-2020,6
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Artigo Aceito Para Publicacao,2010-2015,4
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Artigo Aceito Para Publicacao,2015-2020,17
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Artigo Aceito Para Publicacao,2020-2025,8
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Artigo Publicado,2010-2015,1129
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Artigo Publicado,2015-2020,1587
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Artigo Publicado,2020-2025,1375
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Capitulo De Livro Publicado,2010-2015,111
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Capitulo De Livro Publicado,2015-2020,162
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Capitulo De Livro Publicado,2020-2025,116
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Livro Publicado Ou Organizado,2010-2015,45
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Livro Publicado Ou Organizado,2015-2020,29
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Livro Publicado Ou Organizado,2020-2025,25
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Outra Producao Bibliografica,2010-2015,28
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Outra Producao Bibliografica,2015-2020,14
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Outra Producao Bibliografica,2020-2025,5
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Prefacio Posfacio,2015-2020,1
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Texto Em Jornal Ou Revista,2010-2015,14
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Texto Em Jornal Ou Revista,2015-2020,8
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Texto Em Jornal Ou Revista,2020-2025,18
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Trabalho Em Eventos,2010-2015,2121
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Trabalho Em Eventos,2015-2020,1617
INCT Observatório Nacional da Dinâmica da Água e de Carbono no Bioma Caatinga (INCT-ONDACBC),Trabalho Em Eventos,2020-2025,576
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Artigo Aceito Para Publicacao,2010-2015,9
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Artigo Aceito Para Publicacao,2015-2020,18
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Artigo Aceito Para Publicacao,2020-2025,32
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Artigo Publicado,2010-2015,1125
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Artigo Publicado,2015-2020,1279
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Artigo Publicado,2020-2025,968
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Capitulo De Livro Publicado,2010-2015,492
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Capitulo De Livro Publicado,2015-2020,525
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Capitulo De Livro Publicado,2020-2025,375
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Livro Publicado Ou Organizado,2010-2015,96
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Livro Publicado Ou Organizado,2015-2020,83
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Livro Publicado Ou Organizado,2020-2025,98
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Outra Producao Bibliografica,2010-2015,81
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Outra Producao Bibliografica,2015-2020,55
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Outra Producao Bibliografica,2020-2025,37
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Partitura Musical,2015-2020,1
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Prefacio Posfacio,2010-2015,33
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Prefacio Posfacio,2015-2020,38
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Prefacio Posfacio,2020-2025,21
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Texto Em Jornal Ou Revista,2010-2015,52
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Texto Em Jornal Ou Revista,2015-2020,26
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Texto Em Jornal Ou Revista,2020-2025,28
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Trabalho Em Eventos,2010-2015,1595
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Trabalho Em Eventos,2015-2020,996
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Trabalho Em Eventos,2020-2025,460
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Traducao,2010-2015,6
INCT Observatório das Dinâmicas Socioambientais (INCT-ODISSEIA),Traducao,2015-2020,4
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Artigo Aceito Para Publicacao,2010-2015,9
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Artigo Aceito Para Publicacao,2015-2020,9
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Artigo Aceito Para Publicacao,2020-2025,5
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Artigo Publicado,2010-2015,734
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Artigo Publicado,2015-2020,605
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Artigo Publicado,2020-2025,406
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Capitulo De Livro Publicado,2010-2015,47
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Capitulo De Livro Publicado,2015-2020,33
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Capitulo De Livro Publicado,2020-2025,15
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Livro Publicado Ou Organizado,2010-2015,18
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Livro Publicado Ou Organizado,2015-2020,18
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Livro Publicado Ou Organizado,2020-2025,10
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Outra Producao Bibliografica,2010-2015,6
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Outra Producao Bibliografica,2020-2025,3
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Prefacio Posfacio,2015-2020,2
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Texto Em Jornal Ou Revista,2010-2015,50
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Texto Em Jornal Ou Revista,2015-2020,13
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Texto Em Jornal Ou Revista,2020-2025,3
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Trabalho Em Eventos,2010-2015,1179
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Trabalho Em Eventos,2015-2020,637
INCT Processamento e Aplicação de Ìmãs de Terras Raras para Indústria de Alta Tecnologia (INCT-PATRIA),Trabalho Em Eventos,2020-2025,293
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Artigo Aceito Para Publicacao,2010-2015,32
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Artigo Aceito Para Publicacao,2015-2020,13
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Artigo Aceito Para Publicacao,2020-2025,40
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Artigo Publicado,2010-2015,3132
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Artigo Publicado,2015-2020,3531
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Artigo Publicado,2020-2025,2736
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Capitulo De Livro Publicado,2010-2015,210
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Capitulo De Livro Publicado,2015-2020,534
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Capitulo De Livro Publicado,2020-2025,492
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Livro Publicado Ou Organizado,2010-2015,35
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Livro Publicado Ou Organizado,2015-2020,79
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Livro Publicado Ou Organizado,2020-2025,99
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Outra Producao Bibliografica,2010-2015,29
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Outra Producao Bibliografica,2015-2020,25
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Outra Producao Bibliografica,2020-2025,18
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Prefacio Posfacio,2010-2015,3
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Prefacio Posfacio,2015-2020,3
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Texto Em Jornal Ou Revista,2010-2015,76
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Texto Em Jornal Ou Revista,2015-2020,45
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Texto Em Jornal Ou Revista,2020-2025,51
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Trabalho Em Eventos,2010-2015,4415
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Trabalho Em Eventos,2015-2020,1913
INCT Rede Norte Nordeste de Fitoprodutos (INCT-Rennofito),Trabalho Em Eventos,2020-2025,870
INCT Tecnologia GNSS no suporte à Navegação Aérea,Artigo Aceito Para Publicacao,2015-2020,1
INCT Tecnologia GNSS no suporte à Navegação Aérea,Artigo Aceito Para Publicacao,2020-2025,1
INCT Tecnologia GNSS no suporte à Navegação Aérea,Artigo Publicado,2010-2015,216
INCT Tecnologia GNSS no suporte à Navegação Aérea,Artigo Publicado,2015-2020,275
INCT Tecnologia GNSS no suporte à Navegação Aérea,Artigo Publicado,2020-2025,280
INCT Tecnologia GNSS no suporte à Navegação Aérea,Capitulo De Livro Publicado,2010-2015,15
INCT Tecnologia GNSS no suporte à Navegação Aérea,Capitulo De Livro Publicado,2015-2020,12
INCT Tecnologia GNSS no suporte à Navegação Aérea,Capitulo De Livro Publicado,2020-2025,8
INCT Tecnologia GNSS no suporte à Navegação Aérea,Livro Publicado Ou Organizado,2010-2015,2
INCT Tecnologia GNSS no suporte à Navegação Aérea,Livro Publicado Ou Organizado,2020-2025,1
INCT Tecnologia GNSS no suporte à Navegação Aérea,Outra Producao Bibliografica,2010-2015,3
INCT Tecnologia GNSS no suporte à Navegação Aérea,Outra Producao Bibliografica,2015-2020,5
INCT Tecnologia GNSS no suporte à Navegação Aérea,Outra Producao Bibliografica,2020-2025,3
INCT Tecnologia GNSS no suporte à Navegação Aérea,Texto Em Jornal Ou Revista,2010-2015,19
INCT Tecnologia GNSS no suporte à Navegação Aérea,Texto Em Jornal Ou Revista,2015-2020,1
INCT Tecnologia GNSS no suporte à Navegação Aérea,Texto Em Jornal Ou Revista,2020-2025,1
INCT Tecnologia GNSS no suporte à Navegação Aérea,Trabalho Em Eventos,2010-2015,558
INCT Tecnologia GNSS no suporte à Navegação Aérea,Trabalho Em Eventos,2015-2020,509
INCT Tecnologia GNSS no suporte à Navegação Aérea,Trabalho Em Eventos,2020-2025,442
INCT Tecnologia GNSS no suporte à Navegação Aérea,Traducao,2010-2015,1
INCT Tecnologia GNSS no suporte à Navegação Aérea,Traducao,2015-2020,3
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Artigo Aceito Para Publicacao,2010-2015,5
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Artigo Aceito Para Publicacao,2015-2020,9
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Artigo Aceito Para Publicacao,2020-2025,8
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Artigo Publicado,2010-2015,1354
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Artigo Publicado,2015-2020,1454
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Artigo Publicado,2020-2025,998
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Capitulo De Livro Publicado,2010-2015,65
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Capitulo De Livro Publicado,2015-2020,105
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Capitulo De Livro Publicado,2020-2025,103
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Livro Publicado Ou Organizado,2010-2015,28
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Livro Publicado Ou Organizado,2015-2020,47
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Livro Publicado Ou Organizado,2020-2025,16
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Outra Producao Bibliografica,2010-2015,30
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Outra Producao Bibliografica,2015-2020,13
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Outra Producao Bibliografica,2020-2025,12
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Prefacio Posfacio,2015-2020,1
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Texto Em Jornal Ou Revista,2010-2015,59
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Texto Em Jornal Ou Revista,2015-2020,9
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Texto Em Jornal Ou Revista,2020-2025,10
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Trabalho Em Eventos,2010-2015,2130
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Trabalho Em Eventos,2015-2020,1066
INCT Tecnologias Ambientais Para a Valoração de Resíduos e Materiais Renováveis (INCT-MIDAS),Trabalho Em Eventos,2020-2025,510
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Artigo Aceito Para Publicacao,2010-2015,3
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Artigo Aceito Para Publicacao,2015-2020,1
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Artigo Aceito Para Publicacao,2020-2025,3
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Artigo Publicado,2010-2015,468
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Artigo Publicado,2015-2020,522
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Artigo Publicado,2020-2025,416
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Capitulo De Livro Publicado,2010-2015,53
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Capitulo De Livro Publicado,2015-2020,42
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Capitulo De Livro Publicado,2020-2025,18
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Livro Publicado Ou Organizado,2010-2015,10
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Livro Publicado Ou Organizado,2015-2020,12
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Livro Publicado Ou Organizado,2020-2025,12
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Outra Producao Bibliografica,2010-2015,10
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Outra Producao Bibliografica,2015-2020,2
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Prefacio Posfacio,2010-2015,1
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Prefacio Posfacio,2015-2020,1
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Texto Em Jornal Ou Revista,2010-2015,17
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Texto Em Jornal Ou Revista,2015-2020,5
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Texto Em Jornal Ou Revista,2020-2025,8
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Trabalho Em Eventos,2010-2015,1110
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Trabalho Em Eventos,2015-2020,611
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Trabalho Em Eventos,2020-2025,260
INCT Tecnologias Ecoeficientes Avançadas em Produtos Cimenticios,Traducao,2010-2015,2
INCT Translacional em Medicina,Artigo Aceito Para Publicacao,2010-2015,5
INCT Translacional em Medicina,Artigo Aceito Para Publicacao,2015-2020,2
INCT Translacional em Medicina,Artigo Aceito Para Publicacao,2020-2025,41
INCT Translacional em Medicina,Artigo Publicado,2010-2015,3756
INCT Translacional em Medicina,Artigo Publicado,2015-2020,2941
INCT Translacional em Medicina,Artigo Publicado,2020-2025,2173
INCT Translacional em Medicina,Capitulo De Livro Publicado,2010-2015,359
INCT Translacional em Medicina,Capitulo De Livro Publicado,2015-2020,216
INCT Translacional em Medicina,Capitulo De Livro Publicado,2020-2025,142
INCT Translacional em Medicina,Livro Publicado Ou Organizado,2010-2015,31
INCT Translacional em Medicina,Livro Publicado Ou Organizado,2015-2020,31
INCT Translacional em Medicina,Livro Publicado Ou Organizado,2020-2025,21
INCT Translacional em Medicina,Outra Producao Bibliografica,2010-2015,18
INCT Translacional em Medicina,Outra Producao Bibliografica,2015-2020,27
INCT Translacional em Medicina,Outra Producao Bibliografica,2020-2025,21
INCT Translacional em Medicina,Prefacio Posfacio,2010-2015,2
INCT Translacional em Medicina,Texto Em Jornal Ou Revista,2010-2015,87
INCT Translacional em Medicina,Texto Em Jornal Ou Revista,2015-2020,111
INCT Translacional em Medicina,Texto Em Jornal Ou Revista,2020-2025,18
INCT Translacional em Medicina,Trabalho Em Eventos,2010-2015,2203
INCT Translacional em Medicina,Trabalho Em Eventos,2015-2020,735
INCT Translacional em Medicina,Trabalho Em Eventos,2020-2025,209
INCT Translacional em Medicina,Traducao,2010-2015,1
INCT Translacional em Medicina,Traducao,2015-2020,5
INCT Translacional em Medicina,Traducao,2020-2025,4
INCT Virtual da Flora e dos Fungos,Artigo Aceito Para Publicacao,2010-2015,15
INCT Virtual da Flora e dos Fungos,Artigo Aceito Para Publicacao,2015-2020,13
INCT Virtual da Flora e dos Fungos,Artigo Aceito Para Publicacao,2020-2025,49
INCT Virtual da Flora e dos Fungos,Artigo Publicado,2010-2015,2398
INCT Virtual da Flora e dos Fungos,Artigo Publicado,2015-2020,2630
INCT Virtual da Flora e dos Fungos,Artigo Publicado,2020-2025,1988
INCT Virtual da Flora e dos Fungos,Capitulo De Livro Publicado,2010-2015,673
INCT Virtual da Flora e dos Fungos,Capitulo De Livro Publicado,2015-2020,348
INCT Virtual da Flora e dos Fungos,Capitulo De Livro Publicado,2020-2025,308
INCT Virtual da Flora e dos Fungos,Livro Publicado Ou Organizado,2010-2015,124
INCT Virtual da Flora e dos Fungos,Livro Publicado Ou Organizado,2015-2020,88
INCT Virtual da Flora e dos Fungos,Livro Publicado Ou Organizado,2020-2025,108
INCT Virtual da Flora e dos Fungos,Outra Producao Bibliografica,2010-2015,228
INCT Virtual da Flora e dos Fungos,Outra Producao Bibliografica,2015-2020,234
INCT Virtual da Flora e dos Fungos,Outra Producao Bibliografica,2020-2025,98
INCT Virtual da Flora e dos Fungos,Prefacio Posfacio,2010-2015,8
INCT Virtual da Flora e dos Fungos,Prefacio Posfacio,2015-2020,6
INCT Virtual da Flora e dos Fungos,Prefacio Posfacio,2020-2025,4
INCT Virtual da Flora e dos Fungos,Texto Em Jornal Ou Revista,2010-2015,147
INCT Virtual da Flora e dos Fungos,Texto Em Jornal Ou Revista,2015-2020,129
INCT Virtual da Flora e dos Fungos,Texto Em Jornal Ou Revista,2020-2025,57
INCT Virtual da Flora e dos Fungos,Trabalho Em Eventos,2010-2015,3098
INCT Virtual da Flora e dos Fungos,Trabalho Em Eventos,2015-2020,1733
INCT Virtual da Flora e dos Fungos,Trabalho Em Eventos,2020-2025,913
INCT Virtual da Flora e dos Fungos,Traducao,2010-2015,11
INCT Virtual da Flora e dos Fungos,Traducao,2015-2020,2
INCT Virtual da Flora e dos Fungos,Traducao,2020-2025,3
INCT da Criosfera,Artigo Aceito Para Publicacao,2010-2015,17
INCT da Criosfera,Artigo Aceito Para Publicacao,2015-2020,13
INCT da Criosfera,Artigo Aceito Para Publicacao,2020-2025,63
INCT da Criosfera,Artigo Publicado,2010-2015,3030
INCT da Criosfera,Artigo Publicado,2015-2020,3564
INCT da Criosfera,Artigo Publicado,2020-2025,3262
INCT da Criosfera,Capitulo De Livro Publicado,2010-2015,286
INCT da Criosfera,Capitulo De Livro Publicado,2015-2020,463
INCT da Criosfera,Capitulo De Livro Publicado,2020-2025,406
INCT da Criosfera,Livro Publicado Ou Organizado,2010-2015,54
INCT da Criosfera,Livro Publicado Ou Organizado,2015-2020,50
INCT da Criosfera,Livro Publicado Ou Organizado,2020-2025,88
INCT da Criosfera,Outra Producao Bibliografica,2010-2015,95
INCT da Criosfera,Outra Producao Bibliografica,2015-2020,121
INCT da Criosfera,Outra Producao Bibliografica,2020-2025,63
INCT da Criosfera,Prefacio Posfacio,2010-2015,2
INCT da Criosfera,Prefacio Posfacio,2015-2020,8
INCT da Criosfera,Prefacio Posfacio,2020-2025,8
INCT da Criosfera,Texto Em Jornal Ou Revista,2010-2015,179
INCT da Criosfera,Texto Em Jornal Ou Revista,2015-2020,136
INCT da Criosfera,Texto Em Jornal Ou Revista,2020-2025,101
INCT da Criosfera,Trabalho Em Eventos,2010-2015,4376
INCT da Criosfera,Trabalho Em Eventos,2015-2020,2629
INCT da Criosfera,Trabalho Em Eventos,2020-2025,1568
INCT da Criosfera,Traducao,2010-2015,14
INCT da Criosfera,Traducao,2015-2020,10
INCT da Criosfera,Traducao,2020-2025,5
INCT da Internet do Futuro,Artigo Aceito Para Publicacao,2015-2020,4
INCT da Internet do Futuro,Artigo Aceito Para Publicacao,2020-2025,5
INCT da Internet do Futuro,Artigo Publicado,2010-2015,393
INCT da Internet do Futuro,Artigo Publicado,2015-2020,449
INCT da Internet do Futuro,Artigo Publicado,2020-2025,272
INCT da Internet do Futuro,Capitulo De Livro Publicado,2010-2015,93
INCT da Internet do Futuro,Capitulo De Livro Publicado,2015-2020,100
INCT da Internet do Futuro,Capitulo De Livro Publicado,2020-2025,61
INCT da Internet do Futuro,Livro Publicado Ou Organizado,2010-2015,33
INCT da Internet do Futuro,Livro Publicado Ou Organizado,2015-2020,28
INCT da Internet do Futuro,Livro Publicado Ou Organizado,2020-2025,20
INCT da Internet do Futuro,Outra Producao Bibliografica,2010-2015,33
INCT da Internet do Futuro,Outra Producao Bibliografica,2015-2020,25
INCT da Internet do Futuro,Outra Producao Bibliografica,2020-2025,21
INCT da Internet do Futuro,Prefacio Posfacio,2010-2015,1
INCT da Internet do Futuro,Prefacio Posfacio,2015-2020,2
INCT da Internet do Futuro,Texto Em Jornal Ou Revista,2010-2015,21
INCT da Internet do Futuro,Texto Em Jornal Ou Revista,2015-2020,29
INCT da Internet do Futuro,Texto Em Jornal Ou Revista,2020-2025,11
INCT da Internet do Futuro,Trabalho Em Eventos,2010-2015,1130
INCT da Internet do Futuro,Trabalho Em Eventos,2015-2020,678
INCT da Internet do Futuro,Trabalho Em Eventos,2020-2025,481
INCT da Internet do Futuro,Traducao,2010-2015,5
"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Artigo Aceito Para Publicacao,2010-2015,7
"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Artigo Aceito Para Publicacao,2015-2020,1
"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Artigo Aceito Para Publicacao,2020-2025,5
"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Artigo Publicado,2010-2015,564
"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Artigo Publicado,2015-2020,502
"INCT de Arqueologia, Paleontologia e Ambiente do Semi-Árido do Nordeste do Brasil",Artigo Publicado,2020-2025,409
